//X Y Z R G B Nx Ny Nz
-11.44063377 6.43862391 492.72671509 153 153 153 0.000000 0.000000 0.000000
-11.44551849 6.43342400 492.72631836 153 153 153 0.000000 0.000000 0.000000
-11.43134212 6.43594933 492.69915771 153 153 153 0.000000 0.000000 0.000000
-11.45403767 6.44557619 492.74688721 153 153 153 0.000000 0.000000 0.000000
-11.44588375 6.43652773 492.72723389 153 153 153 0.000000 0.000000 0.000000
-11.43675041 6.43013859 492.69598389 153 153 153 0.000000 0.000000 0.000000
-11.43826008 6.43144321 492.70565796 153 153 153 0.000000 0.000000 0.000000
-11.45616817 6.44023561 492.75799561 153 153 153 0.000000 0.000000 0.000000
-11.45169926 6.44056416 492.76147461 153 153 153 0.000000 0.000000 0.000000
-11.45578957 6.43849421 492.75097656 153 153 153 0.000000 0.000000 0.000000
-11.42910957 6.43986273 492.69680786 153 153 153 0.000000 0.000000 0.000000
-11.45350933 6.43437147 492.74374390 153 153 153 0.000000 0.000000 0.000000
-11.45456505 6.44003582 492.76046753 153 153 153 0.000000 0.000000 0.000000
-11.44060707 6.43686390 492.73092651 153 153 153 0.000000 0.000000 0.000000
-11.43629265 6.43811083 492.71493530 153 153 153 0.000000 0.000000 0.000000
-11.43092442 6.43100643 492.70593262 153 153 153 0.000000 0.000000 0.000000
-11.46019936 6.43976212 492.75109863 153 153 153 0.000000 0.000000 0.000000
-11.45496559 6.44103813 492.75057983 153 153 153 0.000000 0.000000 0.000000
-11.45808983 6.44374895 492.75830078 153 153 153 0.000000 0.000000 0.000000
-11.44820881 6.43988371 492.74322510 153 153 153 0.000000 0.000000 0.000000
-11.45899773 6.43339729 492.75592041 153 153 153 0.000000 0.000000 0.000000
-11.45053005 6.43629885 492.74441528 153 153 153 0.000000 0.000000 0.000000
-11.44413757 6.43388748 492.71917725 153 153 153 0.000000 0.000000 0.000000
-11.44843388 6.43942165 492.74383545 153 153 153 0.000000 0.000000 0.000000
-11.45367050 6.44507504 492.74832153 153 153 153 0.000000 0.000000 0.000000
-11.45131969 6.43520784 492.74578857 153 153 153 0.000000 0.000000 0.000000
-11.45861053 6.44322443 492.75122070 153 153 153 0.000000 0.000000 0.000000
-11.42945957 6.42965269 492.69961548 153 153 153 0.000000 0.000000 0.000000
-11.45507145 6.43471432 492.75360107 153 153 153 0.000000 0.000000 0.000000
-11.43945599 6.43564034 492.72955322 153 153 153 0.000000 0.000000 0.000000
-11.45084381 6.44039536 492.73287964 153 153 153 0.000000 0.000000 0.000000
-11.43379879 6.43402195 492.71008301 153 153 153 0.000000 0.000000 0.000000
-11.45315933 6.43554831 492.75485229 153 153 153 0.000000 0.000000 0.000000
-11.44470215 6.43640709 492.73641968 153 153 153 0.000000 0.000000 0.000000
-11.45382214 6.44377184 492.74798584 153 153 153 0.000000 0.000000 0.000000
-11.45794106 6.43573284 492.76220703 153 153 153 0.000000 0.000000 0.000000
-11.44681931 6.44195366 492.75085449 153 153 153 0.000000 0.000000 0.000000
-11.46002674 6.44490194 492.75363159 153 153 153 0.000000 0.000000 0.000000
